"","category_list","funding_total_usd","country_code","invest_duration","deals","ex_sd","ex_sd_5years","ex_mean_5years","IPO_mean_5years","IPO_growth_5years","MA_mean_5years","MA_growth_5years","label"
"37","Analytics",4e+06,"USA",110.285714285714,6,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"38","Curated Web",1236454,"ITA",80.4285714285714,7,354.665676198768,128.062318228275,1097.19,23.6166666666667,-0.272727272727273,21.6833333333333,-0.25,"0"
"39","Art",2800000,"USA",43.4285714285714,17,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"40","Advertising",50000,"USA",0,1,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"41","E-Commerce",6369507,"IND",0,2,33381.9487012152,5817.33538683906,81240.942,3.25,1,6.46666666666667,-0.625,"0"
"42","Big Data",121050000,"USA",68.2857142857143,10,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"43","Software",3.96e+08,"CHN",355.142857142857,8,2423.75249523914,1553.87805026006,8861.196,17.1833333333333,3.16666666666667,3.61666666666667,8,"1"
"44","Android",250000,"ISR",0,1,1338.02627967053,796.550375575833,5244.954,13.0833333333333,0.136363636363636,10.65,-0.266666666666667,"0"
"45","Software",1610541,"CHN",21.8571428571429,1,2423.75249523914,1156.0872190367,5286.208,18.9833333333333,-0.0666666666666667,3.51666666666667,-0.714285714285714,"0"
"46","Mobile",615000,"SGP",0,1,477.426460215571,264.000891608343,1779.738,18.2,0.285714285714286,19.0333333333333,-0.1,"0"
"47","Biotechnology",227049900,"USA",504.285714285714,23,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"48","Blogging Platforms",50000,"CAN",0,3,505.85272116889,104.649017577806,1510.416,18.9333333333333,-0.444444444444444,41.3,0.195652173913043,"0"
"49","Internet",2e+06,"NLD",0,1,354.665676198768,225.836224352959,1022.584,22.9,-0.5,41.9333333333333,1.25,"0"
"50","Clean Technology",1.6e+07,"USA",0,3,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"51","Software",50000,"USA",0,1,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"52","Software",2942768.88931116,"ESP",134,3,354.665676198768,149.855723180665,1073.778,33.7833333333333,-0.459459459459459,27.95,0.2,"0"
"53","E-Commerce",118000,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"54","Credit Cards",8300000,"RUS",167.571428571429,8,32694.9996306408,16524.605180101,59832.982,3.95,-0.8,2.61666666666667,0.5,"0"
"55","Discounts",33457,"FRA",0,1,354.665676198768,149.855723180665,1073.778,29.35,-0.172413793103448,20.5833333333333,0.647058823529412,"0"
"56","Curated Web",966728,"BEL",65.5714285714286,3,354.665676198768,128.227526568986,1097.738,18.7666666666667,0.222222222222222,25.45,2.88888888888889,"0"
"57","Internet of Things",4e+06,"USA",0,1,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"1"
"58","Application Platforms",3e+05,"USA",43.5714285714286,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"59","Cloud Infrastructure",37644420,"USA",149,5,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"60","Landscaping",20000,"USA",0,1,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"61","Curated Web",2300000,"USA",0,6,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"62","EdTech",95875000,"USA",238.714285714286,24,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"1"
"63","Biotechnology",128477567,"USA",408,13,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"64","Apps",25000,"USA",0,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"65","Advertising",25654560,"USA",179.857142857143,17,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"66","Software",7650000,"CAN",0,2,505.85272116889,308.251691852616,1302.954,17.0833333333333,-0.526315789473684,37.55,-0.122448979591837,"0"
"67","Communities",1543920,"FRA",0,2,354.665676198768,149.855723180665,1073.778,29.35,-0.172413793103448,20.5833333333333,0.647058823529412,"0"
"68","Data Centers",1.6e+07,"USA",0,2,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"69","Artificial Intelligence",609229,"ESP",39.2857142857143,4,354.665676198768,128.227526568986,1097.738,32.3666666666667,-0.341463414634146,29.8833333333333,5.8,"0"
"70","Android",6700000,"GBR",87,5,332.650930201571,241.986560019353,783.924,39.2166666666667,-0.516666666666667,34.7,-0.64,"0"
"71","Bitcoin",525000,"USA",11.1428571428571,4,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"72","Mobile",1629549,"CHN",0,1,2423.75249523914,611.848456261843,8103.314,24.7833333333333,3.72727272727273,10.8,-1,"0"
"73","Networking",1719583,"CHE",153.428571428571,3,323.323369107507,181.55022335431,1306.73,18.35,-0.454545454545455,30.3666666666667,-0.025,"0"
"74","Cloud Computing",75000,"BRA",0,1,2039.5468217166,611.406682593509,3637.318,13.8833333333333,0.307692307692308,16.3333333333333,7,"0"
"75","Babies",35000,"USA",0,1,408.171554463965,83.0290823747921,1265.688,17.2333333333333,-0.409090909090909,61.6333333333333,0.0208333333333333,"0"
"76","Customer Service",9311190,"USA",129.142857142857,6,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"77","Enterprise Software",7289000,"USA",131.714285714286,7,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"1"
"78","Biotechnology",1465000,"USA",174.142857142857,1,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"79","3D Printing",4500000,"NLD",53,6,354.665676198768,69.1122172267682,1060.602,21.3,-0.2,49.4666666666667,2.71428571428571,"0"
"80","3D Printing",7500,"USA",0,1,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"81","3D",240000,"USA",19.1428571428571,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"82","Drones",9.9e+07,"USA",128.428571428571,25,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"83","3D",1880000,"USA",120.285714285714,2,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"84","3D",2670000,"RUS",91.2857142857143,3,32694.9996306408,10616.6445134901,52403.462,5.33333333333333,-0.666666666666667,3.08333333333333,-0.6,"0"
"85","Software",2249999,"USA",104.714285714286,6,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"1"
"86","Mobile",746185,"CHN",48.1428571428571,3,2423.75249523914,1156.0872190367,5286.208,18.9833333333333,-0.0666666666666667,3.51666666666667,-0.714285714285714,"0"
"87","Semiconductors",13708150,"CHN",132,5,2423.75249523914,1350.31326840108,6213.992,20.1166666666667,1,3.5,2,"0"
"88","Messaging",4e+06,"USA",0,2,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"89","Web Hosting",6.5e+07,"USA",194.285714285714,11,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"1"
"90","iOS",5e+05,"GBR",75.2857142857143,1,332.650930201571,103.941225315079,875.848,45.9166666666667,-0.261904761904762,44.5,0.0909090909090909,"0"
"91","Consulting",25920000,"USA",174.857142857143,2,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"92","Software",1011601,"USA",88.5714285714286,1,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"93","Curated Web",1500000,"CHN",63.7142857142857,2,2423.75249523914,1185.46355373331,9089.586,17.7166666666667,0.6,4.36666666666667,6,"0"
"94","Mobile",1394250,"FRA",0,2,354.665676198768,126.626562181874,527.41,35.1833333333333,-0.625,19.0333333333333,-0.5,"0"
"95","Developer APIs",5e+06,"USA",157.142857142857,6,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"96","Biotechnology",7063012,"USA",170.285714285714,7,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"97","Clean Technology",15152514,"GBR",0,1,332.650930201571,251.474457649281,643.03,40,-0.166666666666667,36.65,-0.412698412698413,"0"
"98","Software",1670000,"USA",0,7,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"99","Flash Storage",3393925,"USA",118,2,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"0"
"100","E-Commerce",2374979,"USA",192.428571428571,9,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"101","Messaging",750000,"USA",0,4,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"102","Security",38064570,"USA",309.285714285714,10,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"1"
"103","Commercial Real Estate",17400000,"USA",74,20,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"104","Internet",485841.245076705,"SWE",109.857142857143,5,3592.94496040463,1003.38695660249,9824.934,14.8666666666667,-0.05,20,-0.257142857142857,"0"
"105","Biotechnology",49656999,"USA",174.428571428571,4,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"106","Biotechnology",5e+05,"CAN",0,1,505.85272116889,308.251691852616,1302.954,17.0833333333333,-0.526315789473684,37.55,-0.122448979591837,"0"
"107","Automotive",9416354,"USA",183.142857142857,2,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"1"
"108","Ad Targeting",320288000,"USA",491.428571428571,31,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"0"
"109","Hardware + Software",6e+07,"USA",536.571428571429,8,408.171554463965,210.047633240653,718.264,21.7666666666667,-0.380952380952381,65.05,-0.192771084337349,"0"
"110","Apps",50000,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"111","Advertising",1121078,"GBR",127,6,332.650930201571,120.912204925723,899.39,45.9,0.151515151515152,33.8666666666667,0.172413793103448,"0"
"112","Pets",762500,"BRA",0,1,2039.5468217166,611.406682593509,3637.318,13.8833333333333,0.307692307692308,16.3333333333333,7,"0"
"113","Aerospace",95445,"GBR",0,1,332.650930201571,97.3817857712622,866.34,46.0166666666667,0.037037037037037,41.15,-0.025,"0"
"114","Software",740000,"USA",40.7142857142857,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"115","E-Commerce",12900000,"USA",169,31,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"1"
"116","Apps",22325000,"CAN",215.571428571429,20,505.85272116889,225.836926852098,1408.006,16.85,0.571428571428571,37.0166666666667,-0.235294117647059,"0"
"117","Software",2.7e+07,"CHN",60.8571428571429,8,2423.75249523914,1156.0872190367,5286.208,18.9833333333333,-0.0666666666666667,3.51666666666667,-0.714285714285714,"0"
"118","Education",65100000,"CHN",151,4,2423.75249523914,1437.55268144162,8875.868,19.8333333333333,2.35,7.46666666666667,-1,"0"
"119","Games",1500000,"CHN",121.714285714286,3,2423.75249523914,1937.75412312295,7278.084,19.9166666666667,-0.481481481481481,3.41666666666667,2,"0"
"120","Art",234705,"DEU",0,3,354.665676198768,69.1122172267682,1060.602,27.1,0.5625,48.7166666666667,-0.0851063829787234,"0"
"121","E-Commerce",2e+08,"CHN",30.2857142857143,4,2423.75249523914,1185.46355373331,9089.586,17.7166666666667,0.6,4.36666666666667,6,"0"
"122","Photography",3e+07,"CHN",26.1428571428571,8,2423.75249523914,1156.0872190367,5286.208,18.9833333333333,-0.0666666666666667,3.51666666666667,-0.714285714285714,"1"
"123","Curated Web",876780000,"CHN",438.285714285714,6,2423.75249523914,1156.0872190367,5286.208,18.9833333333333,-0.0666666666666667,3.51666666666667,-0.714285714285714,"1"
"124","Mobile",5100000,"GBR",0,1,332.650930201571,128.997638272954,892.644,45.9666666666667,-0.184210526315789,36.2,0.5,"0"
"125","Mobile",6100000,"USA",52.8571428571429,1,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"1"
"126","Music",368750,"ESP",0,6,354.665676198768,254.506711601089,770.57,37.0833333333333,-0.025,27.0333333333333,-0.705882352941177,"0"
"127","Education",12800000,"USA",120.571428571429,3,408.171554463965,340.528621381522,1067.886,19.3333333333333,0.5,61.2666666666667,-0.371428571428571,"1"
"128","Art",15873,"GBR",0,1,332.650930201571,128.997638272954,892.644,45.9666666666667,-0.184210526315789,36.2,0.5,"0"
"129","Games",3987693,"KOR",156.857142857143,2,489702.373787573,92148.3579095238,1407829.13,14.85,1.28571428571429,9.93333333333333,0,"1"
"130","Mobile",7e+06,"USA",0,1,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"1"
"131","Games",3e+06,"USA",0,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"132","Advertising",17129760,"USA",73,5,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"1"
"133","Accounting",1300000,"GBR",81.2857142857143,3,332.650930201571,168.966802123968,870.038,40.7166666666667,0.133333333333333,32.75,-0.03125,"1"
"134","Browser Extensions",1e+05,"USA",0,1,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"135","Software",3050000,"USA",17.4285714285714,2,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"1"
"136","Web Hosting",3019139,"USA",85.4285714285714,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"137","Information Services",1e+05,"USA",0,1,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"138","Enterprise Software",37143865,"USA",253.428571428571,3,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"139","Concentrated Solar Power",5714285.71428571,"CAN",0,2,505.85272116889,241.871299599601,944.318,17.85,-0.105263157894737,38.7333333333333,-0.228070175438596,"1"
"140","Mobile",1e+06,"CHN",30.2857142857143,3,2423.75249523914,611.848456261843,8103.314,24.7833333333333,3.72727272727273,10.8,-1,"0"
"141","B2B",3.2e+07,"USA",96,7,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"142","Health and Wellness",8e+06,"USA",0.142857142857143,7,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"143","Software",6700000,"USA",63.7142857142857,3,408.171554463965,189.531864154817,605.426,28.0333333333333,-0.766666666666667,65.8333333333333,-0.368421052631579,"1"
"144","Social Network Media",1556687,"GBR",52.1428571428571,1,332.650930201571,103.941225315079,875.848,45.9166666666667,-0.261904761904762,44.5,0.0909090909090909,"0"
"145","Android",23857750,"DEU",151,7,354.665676198768,149.855723180665,1073.778,27.9,-0.541666666666667,41.6166666666667,0.314285714285714,"1"
"146","Analytics",6528902,"USA",178.571428571429,1,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"147","Bicycles",1.5e+07,"CHN",0,3,2423.75249523914,1260.18817494849,8507.204,19.85,0.363636363636364,8.38333333333333,-1,"0"
"148","Analytics",2450000,"USA",115.714285714286,6,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"149","Advertising",1500000,"USA",44.4285714285714,2,408.171554463965,209.62457262926,1415.58,21.4833333333333,-0.368421052631579,52.55,0.0943396226415094,"0"
"150","Clean Technology",16036000,"USA",184.428571428571,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"151","Social Media",47570,"GBR",0,1,332.650930201571,128.997638272954,892.644,45.9666666666667,-0.184210526315789,36.2,0.5,"0"
"152","Content Creators",20068328.451591,"GBR",429.571428571429,3,332.650930201571,98.7418114073263,323.232,44.4333333333333,0.0740740740740741,41.2833333333333,-0.184210526315789,"1"
"153","Analytics",3e+06,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"154","Web Hosting",9850000,"USA",145.428571428571,7,408.171554463965,243.681234607838,874.39,20.3666666666667,-0.387096774193548,63.4,-0.366197183098592,"0"
"155","Brand Marketing",6e+05,"USA",225.857142857143,2,408.171554463965,278.36787997181,1369.97,19.4333333333333,1.28571428571429,54.3666666666667,-0.285714285714286,"0"
"156","Publishing",269260,"NLD",12,4,354.665676198768,69.1122172267682,1060.602,21.3,-0.2,49.4666666666667,2.71428571428571,"0"
"157","Design",4500000,"USA",56.5714285714286,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"158","Finance Technology",1.7e+07,"HKG",134.428571428571,8,3170.63543963043,1544.59088864333,10477.134,16.15,-0.333333333333333,16.5,1,"0"
"159","Advertising",140000,"GBR",21.4285714285714,8,332.650930201571,97.3817857712622,866.34,46.0166666666667,0.037037037037037,41.15,-0.025,"0"
"160","Exercise",2730000,"USA",78.7142857142857,3,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"161","Music",5279980,"USA",136.857142857143,6,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"162","Travel",24600000,"CHN",0,2,2423.75249523914,1437.55268144162,8875.868,19.8333333333333,2.35,7.46666666666667,-1,"0"
"163","Analytics",150000,"SGP",0,1,477.426460215571,79.1102267093199,1683.392,15.9833333333333,0,20.8666666666667,-0.333333333333333,"0"
"164","Consulting",4500000,"USA",7.71428571428571,1,408.171554463965,90.000543498359,1268.706,17.2,0.2,57.0833333333333,0.0222222222222222,"0"
"165","Manufacturing",29300000,"USA",139,14,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"166","Media",38800000,"GBR",126,9,332.650930201571,128.997638272954,892.644,45.9666666666667,-0.184210526315789,36.2,0.5,"0"
"167","Mobile",3e+07,"CHN",0,3,2423.75249523914,1185.46355373331,9089.586,17.7166666666667,0.6,4.36666666666667,6,"1"
"168","Food Processing",3e+06,"USA",49.8571428571429,2,408.171554463965,45.334081550198,1240.37,17.2333333333333,-0.125,60.1833333333333,-0.157894736842105,"0"
"169","Mobile",1e+06,"IND",0,1,33381.9487012152,12390.2329536635,75621.43,6.08333333333333,-0.625,10.8833333333333,-0.25,"0"
"170","Mobile",10450000,"USA",145.571428571429,15,408.171554463965,191.017660911236,1428.606,21.6666666666667,0.230769230769231,53.2166666666667,-0.350649350649351,"0"
"171","Local Businesses",2160000,"SGP",38.2857142857143,7,477.426460215571,68.6193145550143,1672.844,14.9666666666667,-0.5625,22.4,1.18181818181818,"0"
"172","E-Commerce",83574271,"CHN",383,5,2423.75249523914,1156.0872190367,5286.208,18.9833333333333,-0.0666666666666667,3.51666666666667,-0.714285714285714,"1"
"173","Crowdsourcing",4.5e+07,"USA",206.857142857143,6,408.171554463965,352.998002657239,1262.176,19.5,-0.653846153846154,57.8,-0.18,"0"
"174","Fashion",105651,"AUS",9,4,515.222230010564,107.305495059666,1464.488,24.4166666666667,-0.275862068965517,28.5333333333333,-0.08,"0"
"175","E-Commerce",1e+05,"USA",0,1,408.171554463965,199.044996847447,1350.798,19.3,-0.62962962962963,54.2,-0.142857142857143,"0"
"176","Apps",442943,"BRA",0,1,2039.5468217166,611.406682593509,3637.318,13.8833333333333,0.307692307692308,16.3333333333333,7,"0"
"177","E-Commerce",20000,"IND",0,1,33381.9487012152,5817.33538683906,81240.942,3.25,1,6.46666666666667,-0.625,"0"
"178","Manufacturing",7575757,"CHN",0,1,2423.75249523914,1553.87805026006,8861.196,17.1833333333333,3.16666666666667,3.61666666666667,8,"0"
"179","Android",2.5e+07,"BRA",91.7142857142857,8,2039.5468217166,611.406682593509,3637.318,13.8833333333333,0.307692307692308,16.3333333333333,7,"0"
"180","Software",210000,"IND",137.714285714286,1,33381.9487012152,6411.86518753553,79270.754,3.13333333333333,-0.125,7.91666666666667,-0.7,"0"
"181","E-Commerce",9600000,"CHN",156.428571428571,3,2423.75249523914,1156.0872190367,5286.208,18.9833333333333,-0.0666666666666667,3.51666666666667,-0.714285714285714,"0"
"182","Social Media",2800000,"HKG",62.8571428571429,8,3170.63543963043,2741.00654382656,9805.79,21.9166666666667,-0.617647058823529,23.1666666666667,-0.0476190476190476,"0"
